Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
47,1225,2,4,1,1676,2,47,4,4,2,15972,21086,6,14,3,3,80,3,29,2,3,3,2,1,2,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
22,594,2,1,1,169,3,100,3,1,4,2523,19299,0,14,3,3,80,1,3,2,3,2,1,2,1,False,True,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False
46,406,3,1,1,1124,1,52,3,4,3,17465,15596,3,12,3,4,80,1,23,3,3,12,9,4,9,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
25,622,13,1,1,645,2,40,3,1,3,2096,26376,1,11,3,3,80,0,7,1,3,7,4,0,6,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False
43,1001,9,5,1,663,4,72,3,2,3,5679,19627,3,13,3,2,80,1,10,3,3,8,7,4,7,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True
28,1157,2,4,1,440,1,84,1,1,4,3464,24737,5,13,3,4,80,0,5,4,2,3,2,2,2,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
51,833,1,3,1,353,3,96,3,1,4,2723,23231,1,11,3,2,80,0,1,0,2,1,0,0,0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
43,1082,27,3,1,1126,3,83,3,3,1,10820,11535,8,11,3,3,80,1,18,1,3,8,7,0,1,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
40,118,14,2,1,1598,4,84,3,2,1,4639,11262,1,15,3,3,80,1,5,2,3,5,4,1,2,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
27,205,10,3,1,1403,4,98,2,2,4,5769,7100,1,11,3,4,80,0,6,3,3,6,2,4,4,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
36,1218,9,4,1,27,3,82,2,1,1,3407,6986,7,23,4,2,80,0,10,4,3,5,3,0,3,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
29,694,1,3,1,1264,4,87,2,4,4,16124,3423,3,14,3,2,80,2,9,2,2,7,7,1,7,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
45,549,8,4,1,452,4,75,3,2,4,3697,9278,9,14,3,1,80,2,12,3,3,10,9,9,8,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
23,507,20,1,1,1533,1,97,3,2,3,2272,24812,0,14,3,2,80,0,5,2,3,4,3,1,2,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
34,669,1,3,1,1184,4,97,2,2,1,5343,25755,0,20,4,3,80,0,14,3,3,13,9,4,9,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
19,303,2,3,1,243,2,47,2,1,4,1102,9241,1,22,4,3,80,0,1,3,2,1,0,1,0,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
44,621,15,3,1,1295,1,73,3,3,4,7978,14075,1,11,3,4,80,1,10,2,3,10,7,0,5,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
47,1169,14,4,1,1934,3,64,3,2,2,5467,2125,8,18,3,3,80,1,16,4,4,8,7,1,7,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False
